player,team,position,snap_share,route_participation,target_share,air_yards_share,red_zone_touch_share,red_zone_carries,red_zone_targets,goal_line_touches,targets_pg,receptions_pg,rush_attempts_pg,carries_share,pass_attempts_pg,passing_yards_pg,rushing_yards_pg,receiving_yards_pg,fantasy_points_pg
C.Yankoff,WAS,,0.0,0.0,0.69,0.48,0.0,,,,1.0,0.667,0.0,0.0,0.0,0.0,0.0,6.0,1.267
Cas.Washington,ATL,,0.0,0.0,1.72,4.16,0.0,,,,4.5,2.0,0.0,0.0,0.0,0.0,0.0,26.0,4.6
Co.Heyward,PIT,,0.0,0.0,0.76,0.82,3.43,6.0,2.0,4.0,0.364,0.273,1.364,3.69,0.0,0.0,3.909,1.909,2.491
D.Achane,MIA,,0.0,0.0,18.28,1.06,21.39,32.0,11.0,6.0,5.312,4.188,14.875,55.09,0.0,0.0,84.375,30.062,20.131
D.Adams,LA,,0.0,0.0,19.62,27.27,10.63,0.0,32.0,16.0,8.143,4.286,0.0,0.0,0.0,0.0,0.0,56.357,15.921
D.Allen,LA,,0.0,0.0,5.68,2.45,2.33,0.0,7.0,3.0,2.2,1.6,0.0,0.0,0.0,0.0,0.0,13.867,4.187
D.Bellinger,NYG,,0.0,0.0,5.14,5.66,2.3,0.0,6.0,0.0,2.167,1.583,0.0,0.0,0.0,0.0,0.0,23.833,4.967
D.Brown,JAX,,0.0,0.0,6.74,10.62,3.46,1.0,9.0,1.0,3.364,1.818,0.545,1.22,0.0,0.0,2.727,20.636,4.7
D.Cooper,PHI,,0.0,0.0,2.36,2.59,0.0,,,,2.2,1.8,0.0,0.0,0.0,0.0,0.0,18.4,3.64
D.Culp,TB,,0.0,0.0,0.18,0.14,0.46,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.6
D.Dabney,GB,,0.0,0.0,0.43,0.24,0.41,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3
D.Dallas,CAR,,0.0,0.0,0.0,0.0,0.48,1.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.0,0.0,0.0,0.0
D.Dallas,JAX,,0.0,0.0,0.18,-0.02,0.0,,,,1.0,0.0,2.0,0.41,0.0,0.0,21.0,0.0,2.1
D.Davis,LAC,,0.0,0.0,0.55,0.75,0.0,,,,0.6,0.4,0.4,0.43,0.0,0.0,1.0,2.0,0.7
D.Douglas,NE,,0.0,0.0,9.52,9.94,3.05,1.0,7.0,2.0,2.875,1.938,0.438,1.41,0.0,0.0,1.312,27.938,5.988
D.Drummond,ATL,,0.0,0.0,2.3,2.03,1.95,0.0,4.0,2.0,3.0,1.75,0.0,0.0,0.0,0.0,0.0,10.5,2.8
D.Duvernay,CHI,,0.0,0.0,0.93,1.65,0.4,0.0,1.0,1.0,1.667,0.667,0.0,0.0,0.0,0.0,0.0,8.667,1.533
D.Eskridge,MIA,,0.0,0.0,1.51,2.97,0.0,,,,1.4,0.8,0.0,0.0,0.0,0.0,0.0,12.4,2.04
D.Gabriel,CLE,QB,0.0,0.0,0.0,0.0,1.13,2.0,0.0,0.0,0.0,0.0,1.4,3.31,20.5,93.7,8.6,0.0,7.208
D.Giddens,IND,,0.0,0.0,0.37,-0.14,2.23,5.0,1.0,1.0,0.4,0.0,5.2,5.87,0.0,0.0,19.2,0.0,1.92
D.Goedert,PHI,,0.0,0.0,17.6,13.84,7.04,0.0,15.0,8.0,5.467,4.0,0.0,0.0,0.0,0.0,0.0,39.4,12.34
D.Henry,BAL,QB,0.0,0.0,0.24,-0.06,25.19,63.0,2.0,27.0,1.0,1.0,12.0,2.37,1.0,0.0,50.0,7.0,12.7
D.Henry,BAL,,0.0,0.0,4.89,0.41,25.19,63.0,2.0,27.0,1.25,0.875,18.438,58.19,0.0,0.0,96.562,8.938,17.05
D.Hopkins,BAL,,0.0,0.0,9.54,15.2,1.16,0.0,3.0,1.0,2.294,1.294,0.0,0.0,0.0,0.0,0.0,19.412,3.941
D.Johnson,ARI,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.27,0.0,0.0,0.0,0.0,0.0
D.Johnson,NE,,0.0,0.0,0.0,0.0,0.38,1.0,0.0,1.0,0.0,0.0,3.25,2.62,0.0,0.0,6.25,0.0,0.625
