player,team,position,games_played,targets_pg,receptions_pg,receiving_yards_pg,receiving_tds,target_share,air_yards_share,air_yards_pg,snap_share,route_participation,red_zone_targets,goal_line_touches,fantasy_points_pg
K.Monangai,CHI,,17,1.765,1.059,9.647,0.0,5.6,0.04,0.118,0.0,0.0,3.0,12.0,8.394
K.Mumpfield,LA,,9,2.556,1.111,10.222,1.0,3.96,5.59,32.889,0.0,0.0,4.0,1.0,2.8
K.Nwangwu,NYJ,,2,0.5,0.0,0.0,0.0,0.21,-0.19,-3.0,0.0,0.0,0.0,2.0,2.45
K.Pitts,ATL,,17,7.0,5.176,54.588,5.0,22.8,20.77,51.118,0.0,0.0,13.0,2.0,12.4
K.Raymond,DET,,12,2.5,2.0,24.083,1.0,5.45,4.6,14.083,0.0,0.0,2.0,0.0,5.067
K.Shakir,BUF,,16,6.062,4.5,42.875,4.0,19.88,9.99,21.812,0.0,0.0,15.0,3.0,10.319
K.Turpin,DAL,,15,2.533,1.733,26.4,2.0,6.23,6.88,22.6,0.0,0.0,5.0,0.0,5.767
K.Vidal,LAC,,12,1.833,1.333,11.333,1.0,4.04,-0.32,-1.167,0.0,0.0,6.0,7.0,9.825
K.Walker,SEA,,17,2.118,1.824,16.588,0.0,7.88,-1.12,-2.412,0.0,0.0,3.0,8.0,11.288
K.Williams,CIN,,3,0.333,0.333,1.667,0.0,0.16,0.11,1.667,0.0,0.0,,,0.833
K.Williams,LA,,17,2.941,2.118,16.529,3.0,8.61,2.36,7.353,0.0,0.0,10.0,18.0,15.724
K.Williams,NE,,13,1.615,0.769,16.077,3.0,4.35,8.94,30.769,0.0,0.0,,,3.785
L.Allen,JAX,,14,0.786,0.714,3.857,0.0,2.0,-0.31,-1.071,0.0,0.0,2.0,1.0,1.771
L.Burden,CHI,,15,4.0,3.133,43.467,2.0,11.19,10.14,30.667,0.0,0.0,4.0,0.0,8.527
L.Farrell,SF,,9,1.556,1.222,9.444,2.0,2.53,0.99,4.556,0.0,0.0,4.0,1.0,3.5
L.Humphrey,DEN,,5,3.0,1.8,20.2,1.0,2.55,2.99,26.2,0.0,0.0,2.0,1.0,5.02
L.Humphrey,NYG,,2,5.0,2.0,27.5,0.0,1.98,3.39,73.0,0.0,0.0,2.0,1.0,4.75
L.Krull,DEN,,2,2.0,1.0,7.5,0.0,0.68,0.46,10.0,0.0,0.0,,,1.75
L.McCaffrey,WAS,,7,2.286,1.571,29.0,3.0,3.67,5.81,31.143,0.0,0.0,3.0,2.0,7.043
L.McConkey,LAC,,16,6.625,4.125,49.312,6.0,19.49,23.73,65.375,0.0,0.0,15.0,4.0,11.306
L.Musgrave,GB,,13,2.385,1.846,19.385,0.0,6.71,6.51,20.462,0.0,0.0,1.0,0.0,3.785
L.Schoonmaker,DAL,,14,1.643,1.0,9.429,0.0,3.77,3.35,11.786,0.0,0.0,2.0,0.0,1.943
L.Wypler,CLE,,1,1.0,0.0,0.0,0.0,0.19,0.03,1.0,0.0,0.0,1.0,1.0,0.0
